Dates	Ticker	Weight
31/07/2013	CBST UW Equity	0.011071
31/07/2013	CELG UW Equity	0.086100
31/07/2013	CERS UQ Equity	0.001063
31/07/2013	CLDX UW Equity	0.004511
31/07/2013	CLVSQ UW Equity	0.006397
31/07/2013	CRIS UQ Equity	0.000910
31/07/2013	DNDNQ UW Equity	0.001970
31/07/2013	DYAX UQ Equity	0.001199
31/07/2013	ECYT UW Equity	0.001761
31/07/2013	ENDPQ UW Equity	0.011759
31/07/2013	ENZN UW Equity	0.000238
31/07/2013	EXEL UW Equity	0.002538
31/07/2013	FOLD UQ Equity	0.000330
31/07/2013	FRTX UW Equity	0.000909
31/07/2013	FURX UW Equity	0.001212
31/07/2013	GERN UW Equity	0.000465
31/07/2013	GEVA UW Equity	0.003573
31/07/2013	GHDX UW Equity	0.002934
31/07/2013	GILD UW Equity	0.081767
31/07/2013	GRFS UW Equity	0.008590
31/07/2013	HALO UW Equity	0.002623
31/07/2013	HITK UW Equity	0.001329
31/07/2013	HPTX UQ Equity	0.001368
31/07/2013	IDIX UW Equity	0.001434
31/07/2013	ILMN UW Equity	0.027043
31/07/2013	IMGN UW Equity	0.004387
31/07/2013	IMMU UQ Equity	0.001282
31/07/2013	INCY UW Equity	0.008656
31/07/2013	INFI UW Equity	0.002762
31/07/2013	INVA UW Equity	0.010446
31/07/2013	IONS UW Equity	0.008879
31/07/2013	IPXL UW Equity	0.003869
31/07/2013	IRWD UW Equity	0.003098
31/07/2013	ITMN UW Equity	0.003448
31/07/2013	JAZZ UW Equity	0.012105
31/07/2013	LGND UQ Equity	0.002612
31/07/2013	LMNX UW Equity	0.002255
31/07/2013	LUMO UQ Equity	0.001253
31/07/2013	LXRX UW Equity	0.003466
31/07/2013	MACK UW Equity	0.001251
31/07/2013	MDCO UW Equity	0.004713
31/07/2013	MDGL UQ Equity	0.001264
31/07/2013	MDVN UW Equity	0.011819
31/07/2013	MNKD UQ Equity	0.006117
31/07/2013	MNTA UW Equity	0.002441
31/07/2013	MYGN UW Equity	0.006438
31/07/2013	MYL UW Equity	0.034837
31/07/2013	NBIX UW Equity	0.002543
31/07/2013	NKTR UW Equity	0.003528
31/07/2013	NPSP UQ Equity	0.004922
31/07/2013	NVAX UW Equity	0.001117
31/07/2013	NVLNF UW Equity	0.000602
31/07/2013	OMER UQ Equity	0.000436
31/07/2013	ONCT UQ Equity	0.000821
31/07/2013	ONXX UW Equity	0.026015
31/07/2013	OPTR UW Equity	0.001660
31/07/2013	OREXQ UW Equity	0.001959
31/07/2013	OSIR UQ Equity	0.001027
31/07/2013	PACB UW Equity	0.000429
31/07/2013	PCRX UW Equity	0.003054
31/07/2013	PDLI UW Equity	0.003096
31/07/2013	PGNX UW Equity	0.000971
31/07/2013	PSTV UQ Equity	0.000516
31/07/2013	QCOR UW Equity	0.010840
31/07/2013	QGEN UW Equity	0.013323
31/07/2013	REGN UW Equity	0.067194
31/07/2013	RGEN UW Equity	0.000871
31/07/2013	RIGL UW Equity	0.000904
31/07/2013	RPTP UQ Equity	0.001505
31/07/2013	SAVA UW Equity	0.000299
31/07/2013	SCLN UW Equity	0.000922
31/07/2013	SCMP UQ Equity	0.000701
31/07/2013	SGEN UW Equity	0.013384
31/07/2013	SGMO UW Equity	0.001427
31/07/2013	SGYPQ UQ Equity	0.001105
31/07/2013	SHPG UW Equity	0.011064
31/07/2013	SIGA UQ Equity	0.000453
31/07/2013	SLXP UW Equity	0.012340
31/07/2013	SNTS UW Equity	0.004302
31/07/2013	SPPI UW Equity	0.001380
31/07/2013	SQNM UW Equity	0.000941
31/07/2013	SRPT UQ Equity	0.003218
31/07/2013	SUPN UQ Equity	0.000578
31/07/2013	SVA UW Equity	0.000593
31/07/2013	TECH UW Equity	0.007399
31/07/2013	TSRX UQ Equity	0.001839
31/07/2013	UTHR UW Equity	0.010126
31/07/2013	VNDA UQ Equity	0.000900
31/07/2013	VPHM UW Equity	0.006106
31/07/2013	VRTX UW Equity	0.036016
31/07/2013	VVUSQ UW Equity	0.004061
31/07/2013	WCRX UW Equity	0.014559
31/07/2013	XNPT UW Equity	0.000696
31/07/2013	XOMA UQ Equity	0.001226
31/07/2013	ZGNX UQ Equity	0.000426
31/08/2013	1832555D UQ Equity	0.001889
31/08/2013	1872828D UW Equity	0.000000
31/08/2013	1878384D UQ Equity	0.001180
31/08/2013	1893407D UW Equity	0.001796
31/08/2013	ACAD UQ Equity	0.005085
31/08/2013	ACOR UW Equity	0.003952
31/08/2013	AEGR UW Equity	0.007202
31/08/2013	AFFX UW Equity	0.001142
31/08/2013	AKRXQ UW Equity	0.000000
31/08/2013	ALKS UW Equity	0.012301
31/08/2013	ALNY UW Equity	0.009285
31/08/2013	ALXN UW Equity	0.042384
31/08/2013	AMAG UW Equity	0.001472
31/08/2013	AMGN UW Equity	0.083148
31/08/2013	AMRI UW Equity	0.000997
31/08/2013	AMRN UQ Equity	0.002591
31/08/2013	ARIA UW Equity	0.009904
31/08/2013	ARNA UW Equity	0.004025
31/08/2013	ARQL UQ Equity	0.000504
31/08/2013	ASTX UW Equity	0.001787
31/08/2013	AUXL UW Equity	0.002481
31/08/2013	AVEO UW Equity	0.000317
31/08/2013	AVNR UW Equity	0.002134
31/08/2013	BIIB UW Equity	0.068823
31/08/2013	BMRN UW Equity	0.026239
31/08/2013	CADX UW Equity	0.001348
31/08/2013	CASC UW Equity	0.000309
31/08/2013	CBIO UW Equity	0.000496
31/08/2013	CBST UW Equity	0.011911
31/08/2013	CELG UW Equity	0.086862
31/08/2013	CERS UQ Equity	0.001051
31/08/2013	CLDX UW Equity	0.005064
31/08/2013	CLVSQ UW Equity	0.005608
31/08/2013	CRIS UQ Equity	0.001017
31/08/2013	DNDNQ UW Equity	0.001290
31/08/2013	DYAX UQ Equity	0.001407
31/08/2013	ECYT UW Equity	0.001489
31/08/2013	ENDPQ UW Equity	0.013297
31/08/2013	ENZN UW Equity	0.000217
31/08/2013	EXEL UW Equity	0.002655
31/08/2013	FOLD UQ Equity	0.000342
31/08/2013	FRTX UW Equity	0.000322
31/08/2013	FURX UW Equity	0.001121
31/08/2013	GERN UW Equity	0.000538
31/08/2013	GEVA UW Equity	0.003688
31/08/2013	GHDX UW Equity	0.002746
31/08/2013	GILD UW Equity	0.084884
31/08/2013	GRFS UW Equity	0.008676
31/08/2013	HALO UW Equity	0.002711
31/08/2013	HITK UW Equity	0.001687
31/08/2013	HPTX UQ Equity	0.001409
31/08/2013	IDIX UW Equity	0.001846
31/08/2013	ILMN UW Equity	0.027913
31/08/2013	IMGN UW Equity	0.003899
31/08/2013	IMMU UQ Equity	0.001419
31/08/2013	INCY UW Equity	0.014955
31/08/2013	INFI UW Equity	0.002555
31/08/2013	INVA UW Equity	0.010279
31/08/2013	IONS UW Equity	0.008414
31/08/2013	IPXL UW Equity	0.004024
31/08/2013	IRWD UW Equity	0.003121
31/08/2013	ITMN UW Equity	0.003363
31/08/2013	JAZZ UW Equity	0.014878
31/08/2013	LGND UQ Equity	0.002806
31/08/2013	LMNX UW Equity	0.002434
31/08/2013	LUMO UQ Equity	0.001278
31/08/2013	LXRX UW Equity	0.003683
31/08/2013	MACK UW Equity	0.000936
31/08/2013	MDCO UW Equity	0.005686
31/08/2013	MDGL UQ Equity	0.001176
31/08/2013	MDVN UW Equity	0.012220
31/08/2013	MNKD UQ Equity	0.004856
31/08/2013	MNTA UW Equity	0.002109
31/08/2013	MYGN UW Equity	0.006010
31/08/2013	MYL UW Equity	0.038829
31/08/2013	NBIX UW Equity	0.002803
31/08/2013	NKTR UW Equity	0.004057
31/08/2013	NPSP UQ Equity	0.007261
31/08/2013	NVAX UW Equity	0.001526
31/08/2013	NVLNF UW Equity	0.000607
31/08/2013	OMER UQ Equity	0.000433
31/08/2013	ONCT UQ Equity	0.000281
31/08/2013	ONXX UW Equity	0.025916
31/08/2013	OPTR UW Equity	0.001757
31/08/2013	OREXQ UW Equity	0.001872
31/08/2013	OSIR UQ Equity	0.001657
31/08/2013	PACB UW Equity	0.000733
31/08/2013	PCRX UW Equity	0.003451
31/08/2013	PDLI UW Equity	0.003205
31/08/2013	PGNX UW Equity	0.000954
31/08/2013	PSTV UQ Equity	0.000407
31/08/2013	QCOR UW Equity	0.011449
31/08/2013	QGEN UW Equity	0.013521
31/08/2013	REGN UW Equity	0.063812
31/08/2013	RGEN UW Equity	0.000885
31/08/2013	RIGL UW Equity	0.000791
31/08/2013	RPTP UQ Equity	0.002164
31/08/2013	SAVA UW Equity	0.000344
31/08/2013	SCLN UW Equity	0.000819
31/08/2013	SCMP UQ Equity	0.000716
31/08/2013	SGEN UW Equity	0.014824
31/08/2013	SGMO UW Equity	0.001529
31/08/2013	SGYPQ UQ Equity	0.001154
31/08/2013	SHPG UW Equity	0.011804
31/08/2013	SIGA UQ Equity	0.000531
31/08/2013	SLXP UW Equity	0.011831
31/08/2013	SNTS UW Equity	0.004216
31/08/2013	SPPI UW Equity	0.001326
31/08/2013	SQNM UW Equity	0.000969
31/08/2013	SRPT UQ Equity	0.003140
31/08/2013	SUPN UQ Equity	0.000591
31/08/2013	SVA UW Equity	0.000824
31/08/2013	TECH UW Equity	0.008231
31/08/2013	TSRX UQ Equity	0.001887
